,Pedestrians_Count,Lockdown_Stage,Vehicle_Count,Covid_Cases
05-02-2020,145380,Stage 3,22382.0,0.0
05-02-2021,299723,Stage 0,,0.0
05-03-2009,171052,Stage 0,,0.0
05-03-2010,276131,Stage 0,,0.0
05-03-2011,266472,Stage 0,,0.0
05-03-2012,287053,Stage 0,,0.0
05-03-2013,331354,Stage 0,,0.0
05-03-2014,384122,Stage 0,,0.0
05-03-2015,452820,Stage 0,,0.0
05-03-2016,615311,Stage 0,,0.0
05-03-2017,559569,Stage 0,,0.0
05-03-2018,737186,Stage 0,,0.0
05-03-2019,908436,Stage 0,19789.0,0.0
05-03-2020,147257,Stage 3,22551.0,0.0
05-03-2021,256911,Stage 0,,0.0
05-04-2009,241108,Stage 0,,0.0
05-04-2010,261687,Stage 0,,0.0
05-04-2011,263203,Stage 0,,0.0
05-04-2012,346704,Stage 0,,0.0
05-04-2013,239292,Stage 0,,0.0
05-04-2014,309143,Stage 0,,0.0
05-04-2015,544844,Stage 0,,0.0
05-04-2016,691508,Stage 0,,0.0
05-04-2017,600993,Stage 0,,0.0
05-04-2018,803752,Stage 0,,0.0
05-04-2019,653393,Stage 0,20311.0,0.0
05-04-2020,159790,Stage 3,9955.0,23.0
05-04-2021,286940,Stage 0,,0.0
05-05-2009,254668,Stage 0,,0.0
05-05-2010,277653,Stage 0,,0.0
05-05-2011,271388,Stage 0,,0.0
05-05-2012,223940,Stage 0,,0.0
05-05-2013,175872,Stage 0,,0.0
05-05-2014,404085,Stage 0,,0.0
05-05-2015,506962,Stage 0,,0.0
05-05-2016,725166,Stage 0,,0.0
05-05-2017,668528,Stage 0,,0.0
05-05-2018,701778,Stage 0,,0.0
05-05-2019,567776,Stage 0,14750.0,0.0
